"cruise","serialno","samplenumber","no","weight","length","age","sex","liverweight","gonadweight"
2017102,70029,1,1,2000,62,6,2,0.048,0.002
2017102,70029,1,2,605,41,3,1,0.013,0.003
2017102,70029,1,3,800,46,4,2,0.011,0.002
2017102,70029,1,4,14,12,1,NA,NA,NA
2017102,70029,1,6,195,27,3,1,NA,NA
2017102,70029,1,7,995,51,4,2,0.02,0.002
2017102,70029,1,8,80,21.5,2,1,NA,NA
2017102,70029,1,9,190,30,2,2,NA,NA
2017102,70029,1,10,4885,85,9,2,0.169,0.004
2017102,70029,1,11,3755,75,9,2,0.273,0.349
2017102,70038,1,1,6270,88,7,1,0.481,0.452
2017102,70038,1,2,11550,106,9,1,1.68,0.57
2017102,70038,1,3,4140,74,7,2,0.287,0.37
2017102,70038,1,4,10330,98,11,2,0.83,1.97
2017102,70038,1,5,7690,90,8,1,0.98,0.391
2017102,70038,1,6,3110,69,5,1,0.206,0.026
2017102,70038,1,7,4720,75,8,2,0.137,0.479
2017102,70038,1,8,6690,83,6,1,0.602,0.582
2017102,70038,1,9,10740,104,10,1,1.39,1.11
2017102,70038,1,10,17110,119,13,1,1.44,2.01
2017102,70071,1,1,2530,70,7,2,0.113,0.164
2017102,70071,1,2,6610,85,8,1,0.675,0.297
2017102,70071,1,3,1660,57,6,1,0.079,0.008
2017102,70071,1,4,2320,65,5,1,0.095,0.01
2017102,70071,1,5,8465,94,10,2,0.434,0.985
2017102,70071,1,6,10390,96,9,1,0.685,1.022
2017102,70071,1,8,4080,79,8,2,0.195,0.376
2017102,70089,1,1,3620,76,7,2,0.157,0.005
2017102,70089,1,2,3290,73,7,2,0.159,0.004
2017102,70089,1,3,6140,87,9,2,0.204,0.497
2017102,70089,1,4,2230,62,4,2,0.133,0.003
2017102,70089,1,5,670,41,3,1,0.037,0.003
2017102,70089,1,6,5140,83,10,1,0.33,0.459
2017102,70089,1,8,1470,56,5,1,0.069,0.013
2017102,70089,1,9,1060,50,5,2,0.05,0.002
2017102,70093,1,1,2910,71,6,1,0.182,0.022
2017102,70093,1,2,2200,64,7,2,0.125,0.002
2017102,70093,1,3,3365,75,6,2,0.104,0.01
2017102,70093,1,4,19,14,1,NA,NA,NA
2017102,70093,1,5,1025,51,5,1,0.023,0.01
2017102,70093,1,6,2485,67,6,2,0.083,0.002
2017102,70093,1,7,365,35,3,1,NA,NA
2017102,70097,1,1,785,44,4,1,0.039,0.002
2017102,70097,1,2,1495,58,5,1,0.057,0.01
2017102,70097,1,3,240,30,3,2,NA,NA
2017102,70097,1,4,30,16.5,1,NA,NA,NA
2017102,70097,1,5,11,12,1,NA,NA,NA
2017102,70097,1,6,2095,63,6,1,0.155,0.013
2017102,70097,1,7,5340,84,7,1,0.512,0.034
2017102,70097,1,8,87,21.5,2,2,NA,NA
2017102,70097,1,9,3720,74,7,1,0.051,0.022
2017102,70097,1,10,510,38.5,3,2,NA,NA
2017102,70097,1,11,280,28.5,3,2,NA,NA
2017102,70097,1,12,4480,78,8,2,0.348,0.37
2017102,70097,1,13,1140,48.5,5,2,0.08,0.001
2017102,70100,1,1,1260,53,5,2,0.062,0.002
2017102,70100,1,2,940,48.5,5,2,0.051,0.001
2017102,70100,1,3,2000,59,6,1,0.134,0.019
2017102,70100,1,4,4625,78,8,2,0.129,0.006
2017102,70100,1,5,2495,66,6,2,0.119,0.002
2017102,70100,1,6,139,25.5,2,2,NA,NA
2017102,70100,1,7,265,31,3,2,NA,NA
2017102,70100,1,8,530,40.5,4,2,0.033,0.002
2017102,70100,1,9,520,38.5,4,1,NA,NA
2017102,70100,1,10,18,13.5,1,NA,NA,NA
2017102,70100,1,11,39,17.5,1,NA,NA,NA
2017102,70100,1,12,76,21.5,2,2,NA,NA
2017102,70109,1,1,1760,61,6,2,0.039,0.003
2017102,70109,1,2,2430,67,7,2,0.129,0.002
2017102,70109,1,3,1740,59,7,2,0.115,0.001
